"STAT_AREA" "GNMFSAREA"
"902" "695800" "514"
"903" "695830" "514"
"904" "695900" "514"
"905" "695930" "514"
"906" "696000" "514"
"907" "696030" "514"
"908" "696100" "514"
"909" "696130" "514"
"910" "696200" "514"
"911" "696231" "514"
"912" "696232" "514"
"913" "696301" "514"
"914" "696302" "514"
"915" "696303" "514"
"916" "696304" "514"
"917" "696330" "514"
"918" "696400" "514"
"919" "696430" "514"
"920" "696500" "514"
"921" "704830" "541"
"922" "704900" "541"
"923" "704930" "541"
"924" "705000" "541"
"925" "705030" "541"
"926" "705100" "541"
"927" "705130" "541"
"928" "705200" "541"
"929" "705231" "541"
"930" "705232" "541"
"931" "705233" "541"
"932" "705234" "541"
"933" "705300" "541"
"934" "705330" "541"
"935" "705400" "541"
"936" "705430" "541"
"937" "705500" "523"
"938" "705530" "523"
"939" "705600" "521"
"940" "705630" "521"
"941" "705701" "521"
"942" "705703" "521"
"943" "705730" "521"
"944" "705800" "524"
"945" "705830" "524"
"946" "705900" "524"
"947" "705930" "524"
"948" "706000" "524"
"949" "706030" "524"
"950" "706100" "524"
"951" "706130" "524"
"952" "706200" "524"
"953" "706230" "524"
"954" "706301" "524"
"955" "706302" "524"
"956" "706331" "524"
"957" "706332" "524"
"958" "706400" "524"
"959" "706430" "524"
"960" "706500" "524"
"961" "714830" "541"
"962" "714900" "541"
"963" "714930" "541"
"964" "715000" "541"
"965" "715030" "541"
"966" "715100" "541"
"967" "715130" "541"
"968" "715201" "541"
"969" "715202" "541"
"970" "715231" "541"
"971" "715232" "541"
"972" "715300" "541"
"973" "715330" "541"
"974" "715400" "541"
"975" "715430" "541"
"976" "715500" "523"
"977" "715530" "523"
"978" "715600" "523"
"979" "715630" "521"
"980" "715700" "521"
"981" "715730" "521"
"982" "715800" "521"
"983" "715830" "521"
"984" "715900" "521"
"985" "715930" "521"
"986" "716000" "524"
"987" "716030" "524"
"988" "716100" "524"
"989" "716130" "524"
"990" "716200" "524"
"991" "716230" "524"
"992" "716301" "524"
"993" "716302" "524"
"994" "716331" "524"
"995" "716332" "524"
"996" "716400" "524"
"997" "716430" "524"
"998" "724830" "541"
"999" "724900" "541"
"1000" "724930" "541"
"1001" "725000" "541"
"1002" "725030" "541"
"1003" "725100" "541"
"1004" "725130" "541"
"1005" "725201" "541"
"1006" "725202" "541"
"1007" "725203" "541"
"1008" "725230" "541"
"1009" "725300" "541"
"1010" "725330" "541"
"1011" "725400" "541"
"1012" "725430" "541"
"1013" "725500" "523"
"1014" "725530" "523"
"1015" "725600" "523"
"1016" "725630" "521"
"1017" "725700" "521"
"1018" "725730" "521"
"1019" "725800" "521"
"1020" "725830" "521"
"1021" "725900" "521"
"1022" "725930" "521"
"1023" "726001" "524"
"1024" "726002" "524"
"1025" "726003" "524"
"1026" "726031" "524"
"1027" "726032" "524"
"1028" "726100" "524"
"1029" "726130" "524"
"1030" "726200" "524"
"1031" "726230" "524"
"1032" "726300" "524"
"1033" "726330" "524"
"1034" "726400" "524"
"1035" "734830" "541"
"1036" "734900" "541"
"1037" "734930" "541"
"1038" "735000" "541"
"1039" "735030" "541"
"1040" "735100" "541"
"1041" "735130" "541"
"1042" "735201" "541"
"1043" "735202" "541"
"1044" "735203" "541"
"1045" "735230" "541"
"1046" "735300" "541"
"1047" "735330" "541"
"1048" "735400" "541"
"1049" "735430" "541"
"1050" "735500" "523"
"1051" "735530" "523"
"1052" "735600" "523"
"1053" "735630" "523"
"1054" "735700" "521"
"1055" "735730" "521"
"1056" "735800" "521"
"1057" "735830" "521"
"1058" "735900" "521"
"1059" "735930" "521"
"1060" "736001" "524"
"1061" "736031" "524"
"1062" "736032" "524"
"1063" "736100" "524"
"1064" "736130" "524"
"1065" "736200" "524"
"1066" "736230" "524"
"1067" "736300" "524"
"1068" "736330" "524"
"1069" "744800" "541"
"1070" "744830" "541"
"1071" "744900" "541"
"1072" "744930" "541"
"1073" "745000" "541"
"1074" "745030" "541"
"1075" "745100" "541"
"1076" "745131" "541"
"1077" "745132" "541"
"1078" "745201" "541"
"1079" "745202" "541"
"1080" "745203" "541"
"1081" "745205" "541"
"1082" "745206" "541"
"1083" "745207" "541"
"1084" "745230" "541"
"1085" "745300" "541"
"1086" "745330" "541"
"1087" "745400" "541"
"1088" "745430" "541"
"1089" "745500" "523"
"1090" "745530" "523"
"1091" "745600" "523"
"1092" "745630" "523"
"1093" "745700" "523"
"1094" "745730" "521"
"1095" "745800" "521"
"1096" "745830" "521"
"1097" "745900" "521"
"1098" "745930" "521"
"1099" "746000" "524"
"1100" "746030" "524"
"1101" "746100" "524"
"1102" "746130" "524"
"1103" "746200" "524"
"1104" "746230" "524"
"1105" "746300" "524"
"1106" "754800" "541"
"1107" "754830" "541"
"1108" "754900" "541"
"1109" "754930" "541"
"1110" "755000" "541"
"1111" "755030" "541"
"1112" "755100" "541"
"1113" "755131" "541"
"1114" "755132" "541"
"1115" "755134" "541"
"1116" "755135" "541"
"1117" "755201" "541"
"1118" "755202" "541"
"1119" "755203" "541"
"1120" "755206" "541"
"1121" "755207" "541"
"1122" "755208" "541"
"1123" "755209" "541"
"1124" "755230" "541"
"1125" "755300" "541"
"1126" "755330" "541"
"1127" "755400" "541"
"1128" "755430" "541"
"1129" "755500" "523"
"1130" "755530" "523"
"1131" "755600" "523"
"1132" "755630" "523"
"1133" "755700" "523"
"1134" "755730" "523"
"1135" "755800" "521"
"1136" "755830" "521"
"1137" "755900" "521"
"1138" "755930" "521"
"1139" "756000" "524"
"1140" "756030" "524"
"1141" "756100" "524"
"1142" "756130" "524"
"1143" "756200" "524"
"1144" "756230" "524"
"1145" "764800" "541"
"1146" "764830" "541"
"1147" "764900" "541"
"1148" "764930" "541"
"1149" "765000" "541"
"1150" "765030" "541"
"1151" "765100" "541"
"1152" "765132" "541"
"1153" "765137" "541"
"1154" "765138" "541"
"1155" "765139" "541"
"1156" "765141" "541"
"1157" "765142" "541"
"1158" "765143" "541"
"1159" "765144" "541"
"1160" "765145" "541"
"1161" "765146" "541"
"1162" "765147" "541"
"1163" "765148" "541"
"1164" "765203" "541"
"1165" "765204" "541"
"1166" "765205" "541"
"1167" "765206" "541"
"1168" "765230" "541"
"1169" "765300" "541"
"1170" "765330" "541"
