"","strategy.permit","CHNK_earn.bySpec","CHUM_earn.bySpec","COHO_earn.bySpec","DCRB_earn.bySpec","KCRB_earn.bySpec","PCOD_earn.bySpec","PHLB_earn.bySpec","PINK_earn.bySpec","PLCK_earn.bySpec","POUND_earn.bySpec","SABL_earn.bySpec","SAC_earn.bySpec","SOCK_earn.bySpec","TCRB_earn.bySpec"
"4640","M26B S01L",NA,NA,NA,NA,NA,0.136431160531604,NA,NA,NA,NA,NA,NA,0.821130075191368,NA
"4641","M26B S01M",NA,0.128043626294726,NA,NA,NA,0.161734143735568,NA,0.212823386321494,NA,NA,NA,NA,0.442322637456914,NA
"4642","M26B S01M S03M",NA,NA,NA,NA,NA,0.307252022033913,NA,0.506058930530264,NA,NA,NA,NA,0.127823997736865,NA
"4643","M26B S01M S04M",NA,NA,NA,NA,NA,0.278970194551678,NA,0.24498605178,NA,NA,NA,NA,0.416912329822672,NA
"4644","M26B S03H",NA,NA,NA,NA,NA,0.42140933556798,NA,NA,NA,NA,NA,NA,0.52499222753441,NA
"4645","M26B S03M",NA,NA,NA,NA,NA,0.237985403678528,NA,NA,NA,NA,NA,NA,0.700842513541338,NA
"4646","M26B S03T",NA,NA,NA,NA,NA,0.217356078570706,NA,NA,NA,NA,NA,NA,0.759299152224055,NA
"4647","M26B S03T TB9BK",NA,NA,NA,NA,NA,0.171003241231151,NA,NA,NA,NA,NA,NA,0.705798971522111,0.120051419019675
"4648","M26B S04E",NA,NA,NA,NA,NA,0.159483828262782,NA,NA,NA,NA,NA,NA,0.810179474833721,NA
"4649","M26B S04K",NA,NA,0.101492990313095,NA,NA,0.17714837131026,NA,0.113027348698309,NA,NA,NA,NA,0.549865502595857,NA
"4650","M26B S04K TB9BK",NA,NA,NA,NA,NA,0.204572649058274,NA,NA,NA,NA,NA,NA,0.317437016788652,0.408131825966576
"4651","M26B S04M",NA,NA,NA,NA,NA,0.26120576268135,NA,NA,NA,NA,NA,NA,0.630419705420549,NA
"4652","M26B S04M T09L",NA,NA,NA,NA,NA,0.13614894526867,NA,NA,NA,NA,NA,NA,0.519337249462138,0.321724753199025
"4653","M26B S04Y",0.605553954584069,NA,NA,NA,NA,0.383067423277459,NA,NA,NA,NA,NA,NA,NA,NA
"4654","M26B S05B",0.175390792651255,0.103932700686814,0.513236572453232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4655","M26B S05B Y26A",0.308164278758676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4656","M26B S15B",0.299251801105157,NA,0.402066707668552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4657","M26B T09K",NA,NA,NA,NA,NA,0.658795890041231,NA,NA,NA,NA,NA,NA,NA,0.322950116944425
"4658","M26B T09M",NA,NA,NA,NA,NA,0.181952665558949,NA,NA,NA,NA,NA,NA,NA,0.818047334441051
"4659","M26B T09O",NA,NA,NA,NA,NA,0.518773007297901,NA,NA,NA,NA,NA,NA,NA,0.477911139795751
"4660","M26B T91Q",NA,NA,NA,NA,NA,0.106441171910334,NA,NA,NA,NA,NA,NA,NA,0.893558828089666
"4661","M26B TB9AK",NA,NA,NA,NA,NA,0.344499389256374,NA,NA,NA,NA,NA,NA,NA,0.653914801487348
"4662","M26B TB9BK",NA,NA,NA,NA,NA,0.572748426984045,NA,NA,NA,NA,NA,NA,NA,0.40438127278858
"4663","M26G",NA,NA,NA,NA,NA,0.986007355705397,NA,NA,NA,NA,NA,NA,NA,NA
"4664","M26G S01K",NA,NA,NA,NA,NA,0.19512710175827,NA,0.41442756205608,NA,NA,NA,NA,0.246533847675078,NA
"4665","M26G S01L",NA,NA,NA,NA,NA,0.12490370626132,NA,NA,NA,NA,NA,NA,0.862345982010635,NA
"4666","M26G S02K",NA,NA,NA,NA,NA,0.188154995055717,NA,0.623103787491232,NA,NA,NA,NA,0.170955794445654,NA
"4667","M26G S03H",NA,NA,NA,NA,NA,0.156896348360671,NA,NA,NA,NA,NA,NA,0.777003196449127,NA
"4668","M26G S03M",NA,NA,NA,NA,NA,0.210216429874044,NA,NA,NA,NA,NA,NA,0.748357484721627,NA
"4669","M26G S03M T09M",NA,NA,NA,NA,NA,0.146287395561274,NA,NA,NA,NA,NA,NA,0.442455944096842,0.313799861370002
"4670","M26G S03T",NA,NA,NA,NA,NA,0.203162682152369,NA,NA,NA,NA,NA,NA,0.775595156833022,NA
"4671","M26G S04K",NA,NA,NA,NA,NA,0.425260287900677,NA,0.284227531450871,NA,NA,NA,NA,0.231055652185147,NA
"4672","M26G S04M",NA,NA,NA,NA,NA,0.308323649819722,NA,NA,NA,NA,NA,NA,0.586768085181461,NA
"4673","M26G S04M T09M",NA,NA,NA,NA,NA,0.178689697206665,NA,NA,NA,NA,NA,NA,0.619279151107526,0.159946640293478
"4674","M26G T09L",NA,NA,NA,NA,NA,0.497114630473047,NA,NA,NA,NA,NA,NA,NA,0.502885369526953
"4675","M26G T09M",NA,NA,NA,NA,NA,0.893939544016232,NA,NA,NA,NA,NA,NA,NA,0.106060455983768
"4676","M26G TB9AK",NA,NA,NA,NA,NA,0.275725975550975,NA,NA,NA,NA,NA,NA,NA,0.72365423823776
"4677","M37B",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"4678","M37B S03T",NA,NA,NA,NA,NA,0.141722313340963,NA,NA,NA,NA,NA,NA,0.857781582010472,NA
"4679","M61B",NA,NA,NA,NA,NA,0.947087051447141,NA,NA,NA,NA,NA,NA,NA,NA
"4680","M61B M91B",NA,NA,NA,NA,NA,0.993741750373075,NA,NA,NA,NA,NA,NA,NA,NA
"4681","M61B M99B",NA,NA,NA,NA,NA,0.473292189827623,NA,NA,NA,NA,NA,NA,NA,NA
"4682","M61B P09A S03A",NA,NA,NA,NA,NA,0.675399262530795,NA,NA,NA,NA,NA,NA,NA,NA
"4683","M61B P09B S15B",0.208835997250226,NA,0.19288417702564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4684","M61B P09B T10A Y61A",NA,NA,NA,NA,NA,0.126389416038605,NA,NA,NA,NA,NA,NA,NA,0.294461313235374
"4685","M61B P09E T09E",NA,NA,NA,NA,NA,0.345497558765793,NA,NA,NA,NA,NA,NA,NA,0.18729866109629
"4686","M61B P91A",NA,NA,NA,NA,NA,0.335834655054115,NA,NA,NA,NA,NA,NA,NA,NA
"4687","M61B Q11B S03E",NA,NA,NA,NA,NA,0.386050079240031,NA,NA,NA,NA,NA,NA,0.359154793423661,NA
"4688","M61B S01A",NA,0.150124420650815,NA,NA,NA,NA,NA,0.355261219960038,NA,NA,NA,NA,0.297664624833711,NA
"4689","M61B S01E T91K",NA,0.16485377196208,NA,NA,NA,NA,0.153887007739241,0.158545437332481,NA,NA,NA,NA,NA,0.505743514477375
"4690","M61B S01E Y61A",NA,NA,NA,NA,NA,NA,NA,0.61484901057879,NA,NA,NA,NA,NA,NA
"4691","M61B S01K",NA,NA,NA,NA,NA,0.222792491476879,NA,0.279955615072542,NA,NA,NA,NA,0.39271654374706,NA
"4692","M61B S01K T09K",NA,NA,0.105279117721153,NA,NA,0.174325531597264,NA,0.335980317605456,NA,NA,NA,NA,0.138539052222025,0.155325536262444
"4693","M61B S01L",NA,NA,NA,NA,NA,0.188567230181444,NA,NA,NA,NA,NA,NA,0.641101539772327,NA
"4694","M61B S01M",NA,NA,NA,NA,NA,0.165065760575831,NA,0.118850489802117,NA,NA,NA,NA,0.586578351797256,NA
"4695","M61B S01M S04M",NA,NA,NA,NA,NA,0.105365538670849,NA,0.217033303049665,NA,NA,NA,NA,0.564152804466762,NA
"4696","M61B S02K",NA,NA,NA,NA,NA,0.31099742462223,NA,0.506774305410476,NA,NA,NA,NA,0.116222005707508,NA
