p_fshy,description,pfshy_species,pfshy_gear,pfshy_area
S08P,"SALMON , FISH WHEEL, UPPER YUKON",salmon, fish wheel, upper yukon
S15B,"SALMON , POWER TROLL, STATEWIDE",salmon, power troll, statewide
S77A,"SALMON , SPECIAL HARVEST AREA , SOUTHEAST",salmon, special harvest area , southeast
S77E,"SALMON , SPECIAL HARVEST AREA , PRINCE WILLIAM SOUND",salmon, special harvest area , prince william sound
S77H,"SALMON , SPECIAL HARVEST AREA , COOK INLET",salmon, special harvest area , cook inlet
S77K,"SALMON , SPECIAL HARVEST AREA , KODIAK",salmon, special harvest area , kodiak
S77T,"SALMON , SPECIAL HARVEST AREA , BRISTOL BAY",salmon, special harvest area , bristol bay
S77W,"SALMON , SPECIAL HARVEST AREA , KUSKOKWIM",salmon, special harvest area , kuskokwim
S77Y,"SALMON , SPECIAL HARVEST AREA , LOWER YUKON",salmon, special harvest area , lower yukon
T09D,"TANNER CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT",tanner crab, pot gear vessel under 60', yakutat
T09E,"TANNER CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND",tanner crab, pot gear vessel under 60', prince william sound
T09H,"TANNER CRAB , POT GEAR VESSEL UNDER 60', COOK INLET",tanner crab, pot gear vessel under 60', cook inlet
T09K,"TANNER CRAB , POT GEAR VESSEL UNDER 60', KODIAK",tanner crab, pot gear vessel under 60', kodiak
T09L,"TANNER CRAB , POT GEAR VESSEL UNDER 60', CHIGNIK",tanner crab, pot gear vessel under 60', chignik
T09M,"TANNER CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA",tanner crab, pot gear vessel under 60', alaska peninsula
T09O,"TANNER CRAB , POT GEAR VESSEL UNDER 60', DUTCH HARBOR",tanner crab, pot gear vessel under 60', dutch harbor
T09Q,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA",tanner crab, pot gear vessel under 60', bering sea
T09QA,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, APICDA",tanner crab, pot gear vessel under 60'," bering sea cdq, apicda"
T09QB,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, BBEDC",tanner crab, pot gear vessel under 60'," bering sea cdq, bbedc"
T09QC,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CBSFA",tanner crab, pot gear vessel under 60'," bering sea cdq, cbsfa"
T09QD,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CVRF",tanner crab, pot gear vessel under 60'," bering sea cdq, cvrf"
T09QE,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, NSEDC",tanner crab, pot gear vessel under 60'," bering sea cdq, nsedc"
T09QF,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, YDFDA",tanner crab, pot gear vessel under 60'," bering sea cdq, ydfda"
T10A,"TANNER CRAB , RING NET, SOUTHEAST",tanner crab, ring net, southeast
T10D,"TANNER CRAB , RING NET, YAKUTAT",tanner crab, ring net, yakutat
T19A,"TANNER CRAB , POT GEAR, SOUTHEAST",tanner crab, pot gear, southeast
T91D,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT",tanner crab, pot gear vessel 60' or over, yakutat
T91E,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND",tanner crab, pot gear vessel 60' or over, prince william sound
T91H,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, COOK INLET",tanner crab, pot gear vessel 60' or over, cook inlet
T91K,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, KODIAK",tanner crab, pot gear vessel 60' or over, kodiak
T91M,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA",tanner crab, pot gear vessel 60' or over, alaska peninsula
T91O,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, DUTCH HARBOR",tanner crab, pot gear vessel 60' or over, dutch harbor
T91Q,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA",tanner crab, pot gear vessel 60' or over, bering sea
T91QA,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, APICDA",tanner crab, pot gear vessel 60' or over," bering sea cdq, apicda"
T91QB,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, BBEDC",tanner crab, pot gear vessel 60' or over," bering sea cdq, bbedc"
T91QC,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, CBSFA",tanner crab, pot gear vessel 60' or over," bering sea cdq, cbsfa"
T91QD,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, CVRF",tanner crab, pot gear vessel 60' or over," bering sea cdq, cvrf"
T91QE,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, NSEDC",tanner crab, pot gear vessel 60' or over," bering sea cdq, nsedc"
T91QF,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, YDFDA",tanner crab, pot gear vessel 60' or over," bering sea cdq, ydfda"
T91R,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, ADAK",tanner crab, pot gear vessel 60' or over, adak
TB9AK,"TANNER BAIRDI CRAB , POT GEAR VESSEL TO 120', KODIAK",tanner bairdi crab, pot gear vessel to 120', kodiak
TB9BK,"TANNER BAIRDI CRAB , POT GEAR VESSEL UNDER 60', KODIAK",tanner bairdi crab, pot gear vessel under 60', kodiak
U11A,"SEA URCHIN , DIVING GEAR, SOUTHEAST",sea urchin, diving gear, southeast
U11B,"SEA URCHIN , DIVING GEAR, STATEWIDE",sea urchin, diving gear, statewide
U11K,"SEA URCHIN , DIVING GEAR, KODIAK",sea urchin, diving gear, kodiak
W2AB,"SCALLOPS , DREDGE VESSEL OVER 80', STATEWIDE",scallops, dredge vessel over 80', statewide
W2ABV,"WEATHERVANE SCALLOPS , DREDGE VESSEL PERMIT OVER 80', STATEWIDE",weathervane scallops, dredge vessel permit over 80', statewide
W2BB,"SCALLOPS DREDGE , VESSEL TO 80', STATEWIDE",scallops dredge, vessel to 80', statewide
W2BBV,"WEATHERVANE SCALLOPS , DREDGE VESSEL PERMIT TO 80', STATEWIDE",weathervane scallops, dredge vessel permit to 80', statewide
Y05A,"DEMERSAL SHELF ROCKFISH , HAND TROLL, SOUTHEAST",demersal shelf rockfish, hand troll, southeast
Y06A,"DEMERSAL SHELF ROCKFISH , LONGLINE VESSEL UNDER 60', SOUTHEAST",demersal shelf rockfish, longline vessel under 60', southeast
Y25A,"DEMERSAL SHELF ROCKFISH , DINGLEBAR TROLL, SOUTHEAST",demersal shelf rockfish, dinglebar troll, southeast
Y26A,"DEMERSAL SHELF ROCKFISH , MECHANICAL JIG, SOUTHEAST",demersal shelf rockfish, mechanical jig, southeast
Y61A,"DEMERSAL SHELF ROCKFISH , LONGLINE VESSEL 60' OR OVER, SOUTHEAST",demersal shelf rockfish, longline vessel 60' or over, southeast
Y99A,"DEMERSAL SHELF ROCKFISH , OTHER GEAR, SOUTHEAST",demersal shelf rockfish, other gear, southeast
Z09B,"MISC. MARINE INVERTEBRATES , POT VESSEL UNDER 60', STATEWIDE",misc. marine invertebrates, pot vessel under 60', statewide
Z12B,"MISC. MARINE INVERTEBRATES , HAND PICK, STATEWIDE",misc. marine invertebrates, hand pick, statewide
Z99B,"MISC. MARINE INVERTEBRATES , OTHER GEAR, STATEWIDE",misc. marine invertebrates, other gear, statewide
