stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
605506,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605507,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605531,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605532,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605533,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605534,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605535,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605601,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
605602,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
605630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
605700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
605730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
605800,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
605831,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
605832,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
605833,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
605834,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
613166,Yukon,AB (IPHC),NA,,NA,,Yukon
613167,Yukon,AB (IPHC),NA,,NA,,Yukon
615300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
615330,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615400,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615501,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615503,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615504,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615505,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615506,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615507,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615508,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615509,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615531,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615532,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
615534,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
615601,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
615602,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
